name,local,lon,lat,pagenum
CGV강변,서울특별시 광진구 구의동 546-4 테크노마트 10층,127.0957088,37.5349372,1
CGV인천,인천광역시 남동구 구월동 1130번지 SEE&SEEE빌딩 4층,126.7019408,37.4516923,2
CGV야탑,경기도 성남시 분당구 야탑동 341번지 테마폴리스빌딩 지하2층,127.1272313,37.4130682,3
CGV오리,경기도 성남시 분당구 구미동 159번지 애플플라자 건물 4층,127.1069645,37.3400065,4
CGV서면,부산광역시 진구 전포3동 892-20 지오플레이스6층,129.0756416,35.1795543,5
CGV대전,대전광역시 중구 문화동 1-16 세이2 6층,127.4089694,36.3209817,7
CGV명동,서울특별시 중구 명동2가 83-5번지 눈스퀘어 8층,126.9828862,37.5633734,9
CGV구로,서울특별시 구로구 구로5동 573번지 애경백화점 5층,126.8827953,37.5012056,10
CGV목동,서울특별시 양천구 목동 916번지 현대백화점 지하2층,126.8749782,37.5268253,11
CGV수원,경기도 수원시 팔달구 매산로 1가 18 수원역사 6층,127.0003136,37.2656777,12
CGV용산,서울특별시 용산구 한강로 3가 40-999 아이파크몰 6층,126.9640447,37.5288539,13
CGV상암,서울특별시 마포구 성산동 515번지 월드컵몰 1층,126.8981147,37.5677584,14
CGV부천,부천시 원미구 중동 1164번지 현대백화점 중동점 U-PLEX 5층경기도 ,126.7620249,37.504277,15
CGV안양,경기도 안양시 만안구 안양동 676-1,126.9202022,37.3995917,18
CGV익산,전라북도 익산시 영등동 149-1 아오아 본건물 3~5층,126.9737744,35.958096,20
CGV부평,인천 광역시 부평구 청천동 386번지 아이즈빌아울렛,126.703455,37.5217753,21
CGV창원,경상남도 창원시 팔용동 30-1 뉴코아 아울렛 8층~11층,128.6208175,35.2475336,23
CGV목포,전라남도 목포시 상동 892번지,126.4198819,34.8024526,26
CGV주안역,인천광역시 남구 주안동 30-1 카라아울렛 6~10층,126.6804371,37.4655003,27
CGV김해,김해시 내동 1131-4번지 휴앤락 4층경상남도 ,128.8685729,35.2421624,28
CGV역곡,경기도 부천시 소사구 괴안동 역곡 하이뷰 6층,126.811523,37.485127,29
CGV불광,서울특별시 은평구 대조동 14-24 팜스퀘어 11층,126.9289678,37.6097808,30
CGV마산,경남 창원시 마산 회원구 합성동 126-4 보보스존 8층,128.5824869,35.2375188,33
CGV인천터미널,인천시 남구 관교동 15번지 신세계백화점 지하1층,126.701426,37.440941,36
CGV압구정,"서울특별시 강남구 신사동 602, 603-2",127.0294095,37.5242994,40
CGV동수원,"경기도 수원시 팔달구 인계동 1113-11,12 씨네파크 7층",127.0322113,37.2637126,41
CGV동래,부산광역시 동래구 온천동 SK허브스카이 6층,129.0656075,35.2131199,42
CGV계양,인천광역시 계양구 작전동 899-1 메트로몰 8층,126.7345081,37.5336741,43
CGV천안,충청남도 천안시 대흥동 102-10번지 5층,127.1483728,36.8076744,44
CGV포항,경상북도 포항시 남구 상도동 582 번지 밸류플러스 7F,129.348903,36.0127506,45
CGV상봉,서울시 중랑구 상봉동 79-9 상봉듀오트리스 B2F,127.0921931,37.5972616,46
CGV북수원,경기도 수원시 장안구 조원동 893번지 북수원 패션 아울렛 4층,127.0074902,37.3035105,49
CGV평택,경기도 평택시 평택동 186-3 평택민자역사 8층,127.0868079,36.9909958,52
CGV구미,경상북도 구미시 원평동 68-1번지,128.3275497,36.1300571,53
CGV일산,경기도 고양시 일산동구 장항동 867번지 웨스턴돔 3층,126.7719572,37.6557011,54
CGV죽전,경기도 용인시 수지구 죽전동 1285번지 신세계 백화점 8층,127.1081315,37.3249213,55
CGV강남,서울특별시 강남구 역삼동 814-6 스타플렉스,127.0263628,37.5016625,56
CGV미아,서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 9층,127.0306808,37.6120224,57
